HomeTeam,AwayTeam,HomeXG,AwayXG
Newcastle United,Manchester City,1.23638,2.55452
Everton,Aston Villa,1.03664,1.3435
Manchester United,Tottenham,0.923233,1.31224
Arsenal,Crystal Palace,3.52167,0.288083
Brentford,Nottingham Forest,1.94219,1.22251
Bournemouth,Liverpool,0.834585,1.53344
Sheffield United,West Ham,2.61362,2.4241
Brighton,Wolverhampton Wanderers,1.3701,1.14116
Aston Villa,Newcastle United,1.44485,3.3224
Crystal Palace,Sheffield United,1.1601,0.768467
Fulham,Everton,2.37499,2.83317
Luton,Brighton,3.63312,1.01366
Nottingham Forest,Arsenal,0.631618,1.39143
Liverpool,Chelsea,3.6627,0.477972
Manchester City,Burnley,1.84756,1.49114
Tottenham,Brentford,3.36194,1.59637
West Ham,Bournemouth,1.3128,1.13487
Wolverhampton Wanderers,Manchester United,2.27609,3.22698
Brighton,Crystal Palace,1.92591,0.241137
Burnley,Fulham,1.00428,1.28806
Everton,Tottenham,3.25881,0.922371
Newcastle United,Luton,2.37353,2.67463
Sheffield United,Aston Villa,1.52784,2.99015
Arsenal,Liverpool,2.8526,0.542052
Bournemouth,Nottingham Forest,1.1895,0.456548
Chelsea,Wolverhampton Wanderers,2.35967,2.48996
Manchester United,West Ham,0.96721,1.1807
Brentford,Manchester City,0.865741,2.10785
Fulham,Bournemouth,1.7456,2.60612
Liverpool,Burnley,3.14734,1.11123
Luton,Sheffield United,1.76215,1.98283
Manchester City,Everton,1.58971,0.192072
Nottingham Forest,Newcastle United,0.968075,0.511375
Tottenham,Brighton,2.10928,1.49285
Wolverhampton Wanderers,Brentford,1.05781,1.84908
Aston Villa,Manchester United,2.64675,2.44591
West Ham,Arsenal,0.191065,3.99893
Crystal Palace,Chelsea,0.719516,1.26948
Brentford,Liverpool,1.69518,3.08952
Burnley,Arsenal,0.335143,2.20575
Fulham,Aston Villa,1.41796,1.57297
Manchester City,Chelsea,2.77713,1.82903
Newcastle United,Bournemouth,2.38425,2.08098
Nottingham Forest,West Ham,2.66942,0.520016
Tottenham,Wolverhampton Wanderers,1.59768,1.77591
Luton,Manchester United,1.57234,3.58973
Sheffield United,Brighton,0.586214,3.35549
Everton,Crystal Palace,2.44588,0.734685
Manchester City,Brentford,2.53766,0.503799
Liverpool,Luton,3.70302,0.956512
Arsenal,Newcastle United,2.59336,0.217373
Aston Villa,Nottingham Forest,3.48861,2.25569
Bournemouth,Manchester City,0.925889,1.79636
Brighton,Everton,1.6538,0.286655
Crystal Palace,Burnley,2.41612,0.0760216
Manchester United,Fulham,1.96036,1.1385
Wolverhampton Wanderers,Sheffield United,1.21618,0.654342
West Ham,Brentford,2.06873,1.33683
Brentford,Chelsea,2.4732,2.1523
Everton,West Ham,3.12075,2.17948
Fulham,Brighton,1.37604,1.15198
Luton,Aston Villa,2.43312,2.08586
Newcastle United,Wolverhampton Wanderers,3.33495,0.507769
Nottingham Forest,Liverpool,0.971466,1.32259
Tottenham,Crystal Palace,2.6625,0.277887
Burnley,Bournemouth,1.60461,1.43616
Manchester City,Manchester United,2.64173,0.153764
Sheffield United,Arsenal,0.201374,2.47294
Arsenal,Brentford,1.59369,0.733239
Bournemouth,Sheffield United,3.92657,1.91752
Crystal Palace,Luton,3.25103,1.08531
Manchester United,Everton,2.9016,1.8214
Wolverhampton Wanderers,Fulham,1.29589,2.94155
Aston Villa,Tottenham,1.23267,2.25381
Brighton,Nottingham Forest,0.534518,0.687034
Liverpool,Manchester City,2.25492,1.37289
West Ham,Burnley,1.87414,0.88131
Chelsea,Newcastle United,1.78315,0.568435
Bournemouth,Luton,2.84403,2.79419
Burnley,Brentford,2.69776,1.25123
Fulham,Tottenham,2.47234,2.14564
Luton,Nottingham Forest,0.853782,1.95268
West Ham,Aston Villa,1.32829,0.911274
Aston Villa,Wolverhampton Wanderers,1.28271,1.66232
Bournemouth,Everton,1.39268,0.93378
Brentford,Manchester United,3.16487,0.989565
Chelsea,Burnley,4.46643,2.10422
Newcastle United,West Ham,3.80922,0.994584
Nottingham Forest,Crystal Palace,0.784652,0.900972
Sheffield United,Fulham,1.78824,1.10254
Tottenham,Luton,2.46523,0.402402
Liverpool,Brighton,3.21149,0.43922
Manchester City,Arsenal,1.22009,0.511402
Bournemouth,Crystal Palace,1.30969,0.174389
Burnley,Wolverhampton Wanderers,1.12581,1.01021
Newcastle United,Everton,2.65009,1.69834
Nottingham Forest,Fulham,1.94619,1.04304
West Ham,Tottenham,1.47017,1.39423
Arsenal,Luton,1.14384,0.292082
Brentford,Brighton,0.423299,1.22404
Manchester City,Aston Villa,3.87704,1.18643
Chelsea,Manchester United,3.48048,1.56686
Liverpool,Sheffield United,2.51772,0.720948
Aston Villa,Brentford,1.16333,1.42064
Brighton,Arsenal,0.428514,4.16518
Crystal Palace,Manchester City,1.49472,2.26381
Everton,Burnley,0.659844,0.34699
Fulham,Newcastle United,0.834564,1.18012
Luton,Bournemouth,1.30478,0.616108
Wolverhampton Wanderers,West Ham,1.78341,1.14133
Manchester United,Liverpool,0.814509,4.43457
Sheffield United,Chelsea,1.74265,0.521789
Tottenham,Nottingham Forest,1.61978,2.00122
Bournemouth,Manchester United,2.38519,1.52274
Brentford,Sheffield United,1.09071,0.834498
Burnley,Brighton,1.8522,0.889445
Manchester City,Luton,4.64245,0.809775
Newcastle United,Tottenham,3.1483,0.737596
Nottingham Forest,Wolverhampton Wanderers,1.76244,1.45688
Arsenal,Aston Villa,1.89003,0.929049
Liverpool,Crystal Palace,3.04497,2.12879
West Ham,Fulham,1.45307,3.61413
Chelsea,Everton,3.37093,1.21791
Luton,Brentford,0.497799,3.7809
Sheffield United,Burnley,1.97816,2.42338
Wolverhampton Wanderers,Arsenal,0.164516,1.66179
Aston Villa,Bournemouth,2.62687,2.05211
Crystal Palace,West Ham,3.7185,1.34536
Everton,Nottingham Forest,0.473233,1.18916
Fulham,Liverpool,0.83885,1.02445
Arsenal,Chelsea,3.45858,1.60343
Crystal Palace,Newcastle United,1.43661,0.55129
Everton,Liverpool,1.89111,1.87155
Manchester United,Sheffield United,3.51311,1.20517
Wolverhampton Wanderers,Bournemouth,0.484454,2.40311
Brighton,Manchester City,0.572021,1.90507
Aston Villa,Chelsea,0.612257,1.56401
Everton,Brentford,1.21399,0.956356
Fulham,Crystal Palace,1.39418,1.05387
Manchester United,Burnley,3.06197,1.89591
Newcastle United,Sheffield United,2.93477,1.82408
West Ham,Liverpool,0.794025,2.29298
Wolverhampton Wanderers,Luton,1.49011,0.90435
Bournemouth,Brighton,2.48132,1.35682
Nottingham Forest,Manchester City,2.17312,0.932063
Tottenham,Arsenal,2.60458,1.51469
Chelsea,Tottenham,2.22432,1.27064
Luton,Everton,0.950391,1.22959
Arsenal,Bournemouth,3.91372,0.4687
Brentford,Fulham,0.809379,1.45579
Burnley,Newcastle United,1.28632,4.25643
Manchester City,Wolverhampton Wanderers,4.52542,0.396887
Sheffield United,Nottingham Forest,2.48986,1.93818
Brighton,Aston Villa,2.63566,0.0644055
Chelsea,West Ham,4.21838,0.893899
Liverpool,Tottenham,3.26222,1.17205
Crystal Palace,Manchester United,2.0656,0.341417
Bournemouth,Brentford,1.07237,1.92722
Everton,Sheffield United,1.82411,0.465523
Fulham,Manchester City,0.0886245,3.15218
Newcastle United,Brighton,2.45163,1.91556
Nottingham Forest,Chelsea,2.44569,2.41068
Tottenham,Burnley,3.00238,0.950331
West Ham,Luton,3.71009,0.640456
Wolverhampton Wanderers,Crystal Palace,1.1561,2.51452
Manchester United,Arsenal,0.551669,1.73104
Aston Villa,Liverpool,2.71655,1.89968
Tottenham,Manchester City,1.84285,2.70331
Brighton,Chelsea,1.32423,1.544
Manchester United,Newcastle United,1.49706,2.27657
Arsenal,Everton,3.2117,0.664904
Brentford,Newcastle United,1.70157,3.65044
Brighton,Manchester United,1.9717,1.00404
Burnley,Nottingham Forest,1.08222,1.57962
Chelsea,Bournemouth,1.59771,2.002
Crystal Palace,Aston Villa,2.23189,0.598846
Liverpool,Wolverhampton Wanderers,5.65937,0.731254
Luton,Fulham,2.06743,1.11598
Manchester City,West Ham,2.31504,0.240159
Sheffield United,Tottenham,0.697312,3.19675
