Model,FeatureSet,TestSeason,Accuracy,LogLoss,NumFeatures
RandomForest,Baseline + AwayPointsLast5,24-25,0.5131578947368421,1.0664391852872694,4
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,24-25,0.4921052631578947,1.0488319055070048,5
RandomForest,Baseline + PointsDiffLast5,24-25,0.5052631578947369,1.056258889348445,4
RandomForest,Baseline + HomeAwayPointsDiffLast5,24-25,0.5184210526315789,1.0565354251872943,4
RandomForest,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,24-25,0.5184210526315789,1.0264208416915435,5
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,24-25,0.48947368421052634,1.0368875249329375,6
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,24-25,0.49473684210526314,1.026706530399194,6
RandomForest,Baseline + All Points Features,24-25,0.4921052631578947,1.0326404424913966,7
GradientBoosting,Baseline,24-25,0.5078947368421053,1.0457751497099919,3
GradientBoosting,Baseline + HomePointsLast5,24-25,0.5105263157894737,1.027213341765613,4
GradientBoosting,Baseline + AwayPointsLast5,24-25,0.5157894736842106,1.0540135018561683,4
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,24-25,0.49473684210526314,1.0450476771980468,5
GradientBoosting,Baseline + PointsDiffLast5,24-25,0.5078947368421053,1.0363476585051756,4
GradientBoosting,Baseline + HomeAwayPointsDiffLast5,24-25,0.5263157894736842,1.0499167137209549,4
GradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,24-25,0.5026315789473684,1.033200552164076,5
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,24-25,0.5,1.037646973848605,6
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,24-25,0.49736842105263157,1.038568608773007,6
GradientBoosting,Baseline + All Points Features,24-25,0.49736842105263157,1.0257488534554882,7
HistGradientBoosting,Baseline,24-25,0.4789473684210526,1.3745626500935582,3
