Features,NumFeatures,MeanAccuracy,MeanLogLoss,MeanBrier
EloDiff + HomeGoalsPerGame + HomeShotsOnTargetAgainstLast5,3,0.5355263157894737,0.9830743556697301,0.1952523588225491
EloDiff + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5,3,0.5381578947368422,0.9830749760723316,0.19543636928856498
EloDiff + HomeShotsAgainstLast5 + XGForDiffPg,3,0.5331081081081082,0.9831023949697697,0.19558773285755937
EloDiff + AwayPointsLast5 + XGAgainstDiffPg,3,0.5236486486486487,0.9831024678973567,0.19568000780542633
EloDiff + HomeGoalsPerGame + XGAgainstDiffPg,3,0.5270270270270271,0.9831113162652991,0.19555579437142417
EloDiff + GDPerGameDiff + HomeShotsAgainstLast5,3,0.5355263157894736,0.983116310257814,0.19547755532865826
EloDiff + HomeGDPerGame + HomeShotsOnTargetAgainstLast5,3,0.5407894736842106,0.9831239130813311,0.1953054106601646
EloDiff + HomeShotsOnTargetAgainstLast5,2,0.5381578947368421,0.9831280316660788,0.195396612516147
EloDiff + HomeGoalsAgainstLast5 + HomeShotsOnTargetLast5,3,0.5388157894736842,0.983134293334387,0.19545254937415563
EloDiff + HomeShotsOnTargetAgainstLast5 + XGForDiffPg,3,0.5317567567567568,0.9831373921052842,0.19551231806695268
EloDiff + GDPerGameDiff + HomeShotsOnTargetLast5,3,0.5328947368421053,0.9831444510883454,0.19554015964656754
EloDiff + AwayPPG + HomeShotsAgainstLast5,3,0.5375,0.9831452938320371,0.19546221670784142
EloDiff + HomeShotsAgainstLast5 + AwayShotsAgainstLast5,3,0.5368421052631579,0.9831621168626794,0.1955145874462301
EloDiff + HomeGoalsLast5 + XGAgainstDiffPg,3,0.5243243243243243,0.9831780553614087,0.1957219145803987
EloDiff + PPGDiff + XGForDiffLast5,3,0.5348684210526315,0.983210456902181,0.19550781395490827
EloDiff + GoalsAgainstPerGameDiff + XGDDiff,3,0.5283783783783784,0.9832271208809361,0.19568530517934296
EloDiff + HomePointsLast5 + XGForDiffPg,3,0.527027027027027,0.9832314840872315,0.19567226330652593
EloDiff + ShotOTDiffLast5 + GDPerGameDiff,3,0.5368421052631579,0.9832425047970437,0.1955520388721945
EloDiff + AwayGoalsLast5 + HomeShotsOnTargetLast5,3,0.5381578947368422,0.9832925342903962,0.19554317757949555
EloDiff + ShotDiffLast5 + XGAgainstDiffPg,3,0.5324324324324324,0.9833026570154395,0.19558916414418306
EloDiff + AwayShotsAgainstLast5 + HomeShotsOnTargetLast5,3,0.5375,0.9833039929792533,0.19566126470289072
EloDiff + HomePointsLast5 + AwayShotsOnTargetAgainstLast5,3,0.5322368421052631,0.9833187878039825,0.19563402709224506
EloDiff + ShotDiffLast5 + AwayPPG,3,0.5348684210526315,0.983336067563399,0.19541394121695804
EloDiff + XGForDiffPg + XGDDiffLast5,3,0.5364864864864864,0.9833377063719231,0.19560240019929914
EloDiff + HomeGoalsPerGame + HomeShotsOnTargetLast5,3,0.5342105263157896,0.9833515444309925,0.19541997953591375
EloDiff + HomePPG + XGAgainstDiffPg,3,0.5317567567567568,0.9833546538272693,0.19562310322471427
EloDiff + AwayShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,3,0.5342105263157895,0.9833865126198551,0.19543396018187728
HomeElo + AwayElo + HomeShotsOnTargetAgainstLast5,3,0.5407894736842105,0.9833904615815412,0.19531503959534416
EloDiff + AwayElo + HomeShotsOnTargetAgainstLast5,3,0.5407894736842105,0.9833904669511343,0.19531503981316328
EloDiff + HomeElo + HomeShotsOnTargetAgainstLast5,3,0.5407894736842105,0.9833904679501678,0.19531503883117446
EloDiff + HomeElo + XGAgainstDiffPg,3,0.5358108108108108,0.9834046573974096,0.19555189936951134
HomeElo + AwayElo + XGAgainstDiffPg,3,0.5358108108108108,0.9834046967888177,0.19555190642042194
EloDiff + AwayElo + XGAgainstDiffPg,3,0.5358108108108108,0.9834047392772851,0.1955519145191708
EloDiff + GoalDiffLast5 + HomeShotsOnTargetAgainstLast5,3,0.5394736842105263,0.9834214401608868,0.19548613057986494
EloDiff + XGForDiffLast5,2,0.5381578947368422,0.9834260446542264,0.19551464552043912
EloDiff + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,3,0.5368421052631579,0.9834331500377936,0.19544510910169752
EloDiff + ShotDiffLast5 + AwayGoalsAgainstPerGame,3,0.5361842105263158,0.9834693870142508,0.1954787611228045
EloDiff + HomeShotsOnTargetLast5 + XGForDiffPg,3,0.5277027027027026,0.9834845176651519,0.1956893764564298
EloDiff + ShotOTDiffLast5 + AwayPPG,3,0.5375,0.9834883797127867,0.19556773285918475
EloDiff + HomePointsLast5,2,0.5289473684210526,0.9834901708016646,0.1956042353134471
HomeElo + AwayPPG + XGDDiff,3,0.5358108108108108,0.9834985153766524,0.19560066893762743
EloDiff + ShotOTDiffLast5 + XGForDiffLast5,3,0.5401315789473684,0.9834992225966697,0.19551230874855435
EloDiff + AwayGoalsAgainstPerGame + HomeShotsOnTargetLast5,3,0.531578947368421,0.983502076629084,0.1956139493166241
EloDiff + AwayPPG + XGAgainstDiffLast5,3,0.5368421052631579,0.983519915438982,0.19552711610466597
EloDiff + XGAgainstDiffPg + XGDDiffLast5,3,0.5344594594594595,0.9835209634735671,0.19563466807822208
EloDiff + HomeGDPerGame + XGAgainstDiffPg,3,0.5324324324324324,0.9835254389301911,0.19567216073503943
EloDiff + AwayShotsAgainstLast5 + XGDDiff,3,0.5331081081081082,0.9835348388272396,0.1958350269817577
EloDiff + GoalAgainstDiffLast5 + XGDDiff,3,0.5344594594594595,0.9835381454128695,0.19575947003872696
EloDiff + AwayGDPerGame + HomeShotsAgainstLast5,3,0.5342105263157895,0.983547332077081,0.19563614202112775
EloDiff + AwayGoalsAgainstPerGame + XGAgainstDiffLast5,3,0.5328947368421053,0.9835506098974993,0.1955502687416415
EloDiff + ShotDiffLast5 + AwayGDPerGame,3,0.5355263157894736,0.9835952229507454,0.19555532558823147
EloDiff + GoalDiffLast5 + XGForDiffLast5,3,0.5368421052631579,0.9836035317101994,0.1955032745193525
EloDiff + HomeShotsOnTargetAgainstLast5 + XGAgainstDiffPg,3,0.5317567567567567,0.9836105153835055,0.1956880290815977
EloDiff + HomePointsLast5 + AwayShotsOnTargetLast5,3,0.531578947368421,0.9836105344868391,0.1956189581920478
EloDiff + HomeGoalsLast5 + XGForDiffLast5,3,0.5348684210526315,0.983619581245058,0.19556658205839553
EloDiff + AwayGDPerGame + HomeShotsOnTargetLast5,3,0.5335526315789474,0.9836242700029956,0.19571055241550978
EloDiff + AwayGDPerGame + XGAgainstDiffLast5,3,0.5361842105263158,0.9836242963123252,0.1956191129727468
EloDiff + AwayGoalsAgainstPerGame + HomeShotsAgainstLast5,3,0.5355263157894737,0.9836288079785278,0.1955606810728084
EloDiff + HomeGoalsPerGame + XGForDiffLast5,3,0.5361842105263158,0.9836296626900418,0.19545662816579468
