Model,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,Brier_A,Brier_D,Brier_H,TotalGames,AccuracyChange,LogLossChange
BASELINE + HomeHomeGoalsLast5 + HomeElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeHomeGoalsLast5 + HomeElo,5,0.543421052631579,0.5434210526315789,0.9925985474889752,0.1918429834241557,0.18403456457103745,0.2153844957589985,1520,0.0026315789473685403,0.002131930062618026
BASELINE + AwayGoalsPerGame + HomeGDPerGame + AwayElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGoalsPerGame + HomeGDPerGame + AwayElo,6,0.5453947368421053,0.5453947368421053,0.9925987304196181,0.1916239557223661,0.18470286776103068,0.21574019724220528,1520,0.004605263157894779,0.0021321129932608818
BASELINE + HomeGoalsAgainstLast5 + AwayPointsSeason + HomePPG,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsAgainstLast5 + AwayPointsSeason + HomePPG,6,0.5375000000000001,0.5375,0.9925995370687258,0.19234563886179817,0.18417164374122375,0.21511708073617447,1520,-0.0032894736842103978,0.0021329196423686136
BASELINE + GoalsPerGameDiff + ShotDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GoalsPerGameDiff + ShotDiffLast5,5,0.5335526315789474,0.5335526315789474,0.99259968985694,0.1926659399804448,0.18443100526672024,0.21531997615653023,1520,-0.007236842105263097,0.0021330724305828053
BASELINE + HomePointsSeason + AwayPointsSeason + AwayPPG,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsSeason + AwayPointsSeason + AwayPPG,6,0.5342105263157895,0.5342105263157895,0.9925997734889546,0.19174341432302702,0.1847324732343028,0.21514737046776264,1520,-0.006578947368421018,0.002133156062597341
BASELINE + AwayGamesPlayed + HomePointsSeason + HomeHomePointsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGamesPlayed + HomePointsSeason + HomeHomePointsLast5,6,0.5368421052631579,0.5368421052631579,0.9925998154234719,0.1923379304324831,0.1841301620628254,0.21551183905462867,1520,-0.003947368421052588,0.002133197997114644
BASELINE + HomePointsLast5 + HomeGoalsAgainstLast5 + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsLast5 + HomeGoalsAgainstLast5 + AwayAwayGoalsLast5,6,0.5460526315789473,0.5460526315789473,0.9925998599964891,0.1927751220095649,0.18373603388871276,0.21542143632185468,1520,0.0052631578947368585,0.0021332425701319213
BASELINE + HomeShotsAgainstLast5 + HomeHomeGoalsAgainstLast5 + HomeAwayPointsDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsAgainstLast5 + HomeHomeGoalsAgainstLast5 + HomeAwayPointsDiffLast5,6,0.5342105263157896,0.5342105263157895,0.9926004430756132,0.1933126972172987,0.1838982054050695,0.2148174647199946,1520,-0.0065789473684209065,0.002133825649256016
BASELINE + HomeGoalsLast5 + PPGDiff + ShotDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsLast5 + PPGDiff + ShotDiffLast5,6,0.5348684210526315,0.5348684210526315,0.9926004592213111,0.19227359210692047,0.1845099070356431,0.2152201313293363,1520,-0.005921052631578938,0.0021338417949539057
BASELINE + HomePointsSeason + AwayGDPerGame + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsSeason + AwayGDPerGame + AwayAwayGoalsLast5,6,0.5447368421052632,0.5447368421052632,0.9926007410402566,0.19265988266114387,0.18411922421342453,0.21609327897136474,1520,0.003947368421052699,0.002134123613899419
