Features,NumFeatures,AddedFeatures,Accuracy,AccuracyChange,LogLoss,LogLossChange
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPPG,6,GoalDiffLast5 + HomePointsLast5 + AwayPPG,0.5436708860759494,0.0006329113924050667,0.9804240026873844,0.0024017380811767186
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetAgainstLast5,6,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetAgainstLast5,0.5424050632911392,-0.0006329113924050667,0.9798805478506296,0.0018582832444219433
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayGDPerGame,6,GoalDiffLast5 + HomePointsLast5 + AwayGDPerGame,0.5430379746835443,0.0,0.9804876531124856,0.002465388506277977
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,6,GoalDiffLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,0.5411392405063291,-0.0018987341772152,0.9783351617212169,0.00031289711500925854
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5 + AwayGoalsLast5,6,GoalDiffLast5 + AwayPointsLast5 + AwayGoalsLast5,0.5411392405063291,-0.0018987341772152,0.9789079340033645,0.0008856693971568408
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5 + AwayPPG,6,GoalDiffLast5 + AwayPointsLast5 + AwayPPG,0.5360759493670886,-0.006962025316455733,0.9780897161065516,6.74515003439291e-05
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,6,GoalDiffLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,0.539873417721519,-0.0031645569620253333,0.978401767665129,0.00037950305892131553
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5 + AwayGDPerGame,6,GoalDiffLast5 + AwayPointsLast5 + AwayGDPerGame,0.5335443037974683,-0.009493670886076,0.9788218561291362,0.0007995915229285222
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,6,GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,0.5411392405063291,-0.0018987341772152,0.9818246160198345,0.0038023514136268366
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayPPG,6,GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayPPG,0.5373417721518987,-0.0056962025316456,0.9802964421847081,0.002274177578500458
