TestSeason,Feature,Accuracy,LogLoss
23-24,HomeGoalsAgainstPerGame,0.5105263157894737,1.0401566408422862
23-24,AwayGoalsAgainstPerGame,0.4710526315789474,1.0357010459241445
23-24,HomeGDPerGame,0.5263157894736842,1.0064643676664018
23-24,AwayGDPerGame,0.5184210526315789,1.0243195264806955
23-24,PPGDiff,0.5552631578947368,0.9689406143218079
23-24,GDPerGameDiff,0.5763157894736842,0.9684130190531925
23-24,GoalsPerGameDiff,0.55,0.9800695826838648
23-24,GoalsAgainstPerGameDiff,0.55,1.0033804632513115
23-24,HomeHomePointsLast5,0.4921052631578947,1.026223807886555
23-24,HomeHomeGoalsLast5,0.47368421052631576,1.0245665909661248
23-24,HomeHomeGoalsAgainstLast5,0.45789473684210524,1.044177901558456
23-24,AwayAwayPointsLast5,0.48157894736842105,1.038921397534553
23-24,AwayAwayGoalsLast5,0.4842105263157895,1.0409782840302584
23-24,AwayAwayGoalsAgainstLast5,0.4631578947368421,1.0502867463175687
23-24,HomeAwayPointsDiffLast5,0.5263157894736842,1.0060446324426684
23-24,HomeAwayGoalsDiffLast5,0.5,1.0059843155382024
23-24,HomeAwayGoalsAgainstDiffLast5,0.4921052631578947,1.0387285065881207
23-24,GoalDiffLast5,0.5105263157894737,1.0029857464840857
23-24,PointsDiffLast5,0.5342105263157895,0.9911093727308738
23-24,GoalAgainstDiffLast5,0.5157894736842106,1.0154164974559043
23-24,ShotDiffLast5,0.5447368421052632,0.9818417016014018
23-24,ShotOTDiffLast5,0.5263157894736842,0.9839996044106251
23-24,HomeElo,0.5184210526315789,0.9848921697911889
23-24,AwayElo,0.5236842105263158,1.0136001134569408
23-24,EloDiffFeature,0.5578947368421052,0.940447311203494
23-24,EloDiff,0.5578947368421052,0.940447311203494
23-24,HomeAwayPPGDiff,0.5263157894736842,1.0060446324426684
23-24,HomeAwayGoalsDiff,0.5,1.0059843155382024
23-24,HomeAwayGoalsAgainstDiff,0.4921052631578947,1.0387285065881207
23-24,HomeAwayShotsDiff,0.5447368421052632,0.9818417016014018
23-24,HomeAwayShotsOTDiff,0.5263157894736842,0.9839996044106251
24-25,HomeGoalsLast5,0.4394736842105263,1.068544225609811
24-25,AwayGoalsLast5,0.41578947368421054,1.0717737066418789
24-25,HomePointsLast5,0.4842105263157895,1.0576444633521558
24-25,AwayPointsLast5,0.45263157894736844,1.0684439078447956
24-25,HomeGoalsAgainstLast5,0.45526315789473687,1.070031003876643
24-25,AwayGoalsAgainstLast5,0.4,1.069093178022703
24-25,HomeShotsForLast5,0.45,1.0531573169780344
24-25,HomeShotsOnTargetLast5,0.46578947368421053,1.0617941052008262
24-25,HomeShotsAgainstLast5,0.4789473684210526,1.0542276981412835
24-25,HomeShotsOnTargetAgainstLast5,0.4605263157894737,1.0683707704483838
24-25,AwayShotsForLast5,0.40789473684210525,1.0700837070369227
24-25,AwayShotsOnTargetLast5,0.4236842105263158,1.0673764389494773
24-25,AwayShotsAgainstLast5,0.43157894736842106,1.0721774146447616
24-25,AwayShotsOnTargetAgainstLast5,0.43157894736842106,1.0622919828821804
24-25,HomeGamesPlayed,0.40789473684210525,1.081811435505025
24-25,AwayGamesPlayed,0.40789473684210525,1.0817178462028465
24-25,HomePointsSeason,0.42105263157894735,1.0655576306233032
24-25,AwayPointsSeason,0.4342105263157895,1.0768868872612039
24-25,HomePPG,0.5026315789473684,1.0351807556829502
24-25,AwayPPG,0.42105263157894735,1.0738506837589614
24-25,HomeGoalsPerGame,0.4605263157894737,1.0563254914733184
24-25,AwayGoalsPerGame,0.4052631578947368,1.078383443818452
24-25,HomeGoalsAgainstPerGame,0.48157894736842105,1.0571647018581776
24-25,AwayGoalsAgainstPerGame,0.4263157894736842,1.0642021833473903
24-25,HomeGDPerGame,0.4921052631578947,1.0373804258858237
24-25,AwayGDPerGame,0.42894736842105263,1.0639350584578045
24-25,PPGDiff,0.5342105263157895,1.009409685571092
24-25,GDPerGameDiff,0.5052631578947369,1.0126589619151676
24-25,GoalsPerGameDiff,0.48157894736842105,1.0459120819436392
24-25,GoalsAgainstPerGameDiff,0.5,1.01878901252596
24-25,HomeHomePointsLast5,0.4842105263157895,1.0496948193331135
24-25,HomeHomeGoalsLast5,0.45,1.0638369847988889
24-25,HomeHomeGoalsAgainstLast5,0.4631578947368421,1.0569067647031896
24-25,AwayAwayPointsLast5,0.4236842105263158,1.0728481778332872
24-25,AwayAwayGoalsLast5,0.4394736842105263,1.0715572574271435
24-25,AwayAwayGoalsAgainstLast5,0.42105263157894735,1.0791557949128237
24-25,HomeAwayPointsDiffLast5,0.4842105263157895,1.0384296476778658
24-25,HomeAwayGoalsDiffLast5,0.4710526315789474,1.050981022776621
24-25,HomeAwayGoalsAgainstDiffLast5,0.48947368421052634,1.0521094858895768
24-25,GoalDiffLast5,0.4605263157894737,1.0577842658297034
24-25,PointsDiffLast5,0.4921052631578947,1.0450850027555316
24-25,GoalAgainstDiffLast5,0.4710526315789474,1.051422385501418
24-25,ShotDiffLast5,0.5,1.031446142252604
24-25,ShotOTDiffLast5,0.4710526315789474,1.0427022404991326
24-25,HomeElo,0.49736842105263157,1.026029528562615
24-25,AwayElo,0.4421052631578947,1.0584536025179476
24-25,EloDiffFeature,0.5368421052631579,0.9973568234814291
24-25,EloDiff,0.5368421052631579,0.9973568234814291
24-25,HomeAwayPPGDiff,0.4842105263157895,1.0384296476778658
24-25,HomeAwayGoalsDiff,0.4710526315789474,1.0509810227766208
24-25,HomeAwayGoalsAgainstDiff,0.48947368421052634,1.0521094858895768
24-25,HomeAwayShotsDiff,0.5,1.031446142252604
24-25,HomeAwayShotsOTDiff,0.4710526315789474,1.0427022404991326
25-26,HomeGoalsLast5,0.4236842105263158,1.0721259758600536
25-26,AwayGoalsLast5,0.4236842105263158,1.081273031703696
25-26,HomePointsLast5,0.42894736842105263,1.067857057703946
25-26,AwayPointsLast5,0.40789473684210525,1.080288598035713
25-26,HomeGoalsAgainstLast5,0.4473684210526316,1.074870379910419
25-26,AwayGoalsAgainstLast5,0.4131578947368421,1.0813825658494982
25-26,HomeShotsForLast5,0.45,1.070147925947471
25-26,HomeShotsOnTargetLast5,0.4473684210526316,1.0741692260024487
25-26,HomeShotsAgainstLast5,0.43157894736842106,1.073571212389646
25-26,HomeShotsOnTargetAgainstLast5,0.4263157894736842,1.078743055030349
25-26,AwayShotsForLast5,0.42105263157894735,1.0833735041507293
25-26,AwayShotsOnTargetLast5,0.4236842105263158,1.085801460773321
25-26,AwayShotsAgainstLast5,0.4131578947368421,1.0803546414359493
25-26,AwayShotsOnTargetAgainstLast5,0.4631578947368421,1.0755007604161415
25-26,HomeGamesPlayed,0.4263157894736842,1.0881323588474632
25-26,AwayGamesPlayed,0.4263157894736842,1.088490485440066
25-26,HomePointsSeason,0.3973684210526316,1.0877353129159273
25-26,AwayPointsSeason,0.4105263157894737,1.0784846628253095
25-26,HomePPG,0.43157894736842106,1.0786886553800021
25-26,AwayPPG,0.44473684210526315,1.0698127374975543
25-26,HomeGoalsPerGame,0.4105263157894737,1.0841719879701572
25-26,AwayGoalsPerGame,0.44473684210526315,1.0705694224774374
25-26,HomeGoalsAgainstPerGame,0.4605263157894737,1.0765935197138263
25-26,AwayGoalsAgainstPerGame,0.4342105263157895,1.0802446550314924
25-26,HomeGDPerGame,0.45526315789473687,1.0724903474646865
25-26,AwayGDPerGame,0.4605263157894737,1.0665995768521108
25-26,PPGDiff,0.4789473684210526,1.0570922990399794
25-26,GDPerGameDiff,0.48947368421052634,1.0542696516496077
25-26,GoalsPerGameDiff,0.4868421052631579,1.0603743533933936
25-26,GoalsAgainstPerGameDiff,0.4710526315789474,1.0734285075449983
25-26,HomeHomePointsLast5,0.4473684210526316,1.0694983817453487
25-26,HomeHomeGoalsLast5,0.41842105263157897,1.0735579737387075
25-26,HomeHomeGoalsAgainstLast5,0.44473684210526315,1.0728826462358012
25-26,AwayAwayPointsLast5,0.4026315789473684,1.084124958108613
25-26,AwayAwayGoalsLast5,0.4236842105263158,1.0846729757151798
25-26,AwayAwayGoalsAgainstLast5,0.42894736842105263,1.0823428614259825
25-26,HomeAwayPointsDiffLast5,0.4473684210526316,1.068643648504013
25-26,HomeAwayGoalsDiffLast5,0.44473684210526315,1.0732596260436218
25-26,HomeAwayGoalsAgainstDiffLast5,0.4421052631578947,1.0730639260285921
25-26,GoalDiffLast5,0.45526315789473687,1.0709392395564816
