Model,Features,FeatureList,TrainGames,TestGames,Accuracy,LogLoss,Brier_A,Brier_D,Brier_H,AccuracyChange,LogLossChange,BrierAChange,BrierDChange,BrierHChange
BASELINE + XGForDiffPg + XGDDiff + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGDDiff + XGDDiffLast5,1480,370,0.4837837837837838,1.0329714057389923,0.1979090391533333,0.20266503979797867,0.22172455979177796,-0.00832147937411093,-0.0022581435879049927,0.0012806563992795172,-0.00018117173550391552,-0.0031435448692826717
BASELINE + XGForDiffPg + XGForDiffLast5 + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGForDiffLast5 + XGAgainstDiffLast5,1480,370,0.4891891891891892,1.033630934774487,0.19874835970567767,0.20269431608144614,0.2208933694121127,-0.0029160739687055237,-0.0015986145524102824,0.0021199769516238864,-0.00015189545203644905,-0.003974735248947925
BASELINE + XGForDiffPg + XGForDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGForDiffLast5 + XGDDiffLast5,1480,370,0.4891891891891892,1.0334321388641203,0.19865087225462233,0.20267634446775534,0.22089973433860305,-0.0029160739687055237,-0.0017974104627769272,0.0020224895005685473,-0.0001698670657272472,-0.003968370322457587
BASELINE + XGForDiffPg + XGAgainstDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffLast5 + XGDDiffLast5,1480,370,0.4891891891891892,1.0334265758009131,0.19865670334714025,0.20265212895160106,0.22089766383242648,-0.0029160739687055237,-0.0018029735259841306,0.002028320593086469,-0.00019408258188152727,-0.003970440828634153
BASELINE + XGAgainstDiffPg + XGDDiff + XGForDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGDDiff + XGForDiffLast5,1480,370,0.4756756756756757,1.034737767346853,0.19884893191377875,0.20330742856695452,0.22188896013382176,-0.01642958748221901,-0.0004917819800442924,0.0022205491597249716,0.00046121703347193344,-0.0029791445272388806
BASELINE + XGAgainstDiffPg + XGDDiff + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGDDiff + XGAgainstDiffLast5,1480,370,0.4891891891891892,1.0316771326969314,0.19799505677158238,0.20200505271373123,0.22093648757009796,-0.0029160739687055237,-0.00355241662996586,0.0013666740175286018,-0.0008411588197513586,-0.00393161709096268
BASELINE + XGAgainstDiffPg + XGDDiff + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGDDiff + XGDDiffLast5,1480,370,0.4837837837837838,1.0331635238363126,0.1979617549123718,0.2027191855332256,0.22173958199388788,-0.00832147937411093,-0.0020660254905846553,0.0013333721583180247,-0.00012702600025699118,-0.003128522667172756
BASELINE + XGAgainstDiffPg + XGForDiffLast5 + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGForDiffLast5 + XGAgainstDiffLast5,1480,370,0.4864864864864865,1.038889199555517,0.2005307678663035,0.20298923133955651,0.22212474719078143,-0.005618776671408199,0.003659650228619693,0.0039023851122497177,0.00014301980607392406,-0.0027433574702792063
BASELINE + XGAgainstDiffPg + XGForDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGForDiffLast5 + XGDDiffLast5,1480,370,0.4864864864864865,1.0389149234844337,0.20052994983085123,0.20300425655486753,0.22212588466814026,-0.005618776671408199,0.0036853741575364474,0.003901567076797452,0.00015804502138494492,-0.002742219992920375
BASELINE + XGAgainstDiffPg + XGAgainstDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGAgainstDiffLast5 + XGDDiffLast5,1480,370,0.4864864864864865,1.0389166910053511,0.2005323822141722,0.20300003943566944,0.22212339336795373,-0.005618776671408199,0.0036871416784538535,0.003903999460118407,0.00015382790218684828,-0.0027447112931069106
BASELINE + XGDDiff + XGForDiffLast5 + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiff + XGForDiffLast5 + XGAgainstDiffLast5,1480,370,0.4837837837837838,1.0356944320539698,0.19960930828867976,0.20288568409997731,0.2213955655072527,-0.00832147937411093,0.0004648827270725686,0.0029809255346259778,3.947256649472486e-05,-0.0034725391538079353
BASELINE + XGDDiff + XGForDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiff + XGForDiffLast5 + XGDDiffLast5,1480,370,0.4837837837837838,1.0356218453685446,0.19957409029588163,0.20287861191966025,0.22139888376139769,-0.00832147937411093,0.0003922960416473664,0.002945707541827852,3.240038617766117e-05,-0.0034692208996629503
BASELINE + XGDDiff + XGAgainstDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiff + XGAgainstDiffLast5 + XGDDiffLast5,1480,370,0.4837837837837838,1.0355570923602118,0.19956702014787825,0.2028412265051536,0.22139016895666883,-0.00832147937411093,0.0003275430333145035,0.002938637393824467,-4.985028328990948e-06,-0.00347793570439181
BASELINE + XGForDiffLast5 + XGAgainstDiffLast5 + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffLast5 + XGAgainstDiffLast5 + XGDDiffLast5,1520,380,0.5,1.0360522929407965,0.19771329228915385,0.20265390905591424,0.22283145052617784,0.007894736842105288,0.0008227436138992239,0.0010849095351000704,-0.00019230247756835128,-0.0020366541348827982
BASELINE + ALL XG,9,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg + XGDDiff + XGForDiffLast5 + XGAgainstDiffLast5 + XGDDiffLast5,1480,370,0.4810810810810811,1.0347281088094382,0.19909145992324181,0.20297473987343534,0.22110638332274563,-0.011024182076813605,-0.0005014405174590397,0.0024630771691880327,0.00012852833995274926,-0.0037617213383150105
